subject	pre	post	condition
42016.38146	1.6	3.6	treatment
42016.38154	4.2	4.2	treatment
42016.38159	6	5.6	treatment
42016.38164	4.4	5.4	treatment
42016.38231	4.2	4.4	treatment
42016.38345	4.2	4.3	treatment
42016.3839	1.4	3.2	treatment
42016.38392	3.6	4.2	treatment
42016.38409	6	6	treatment
42016.3842	5.8	5.4	treatment
42016.38435	4.2	4.8	treatment
42016.38478	4.4	5.6	treatment
42016.38491	4.4	4.4	treatment
42016.38532	4.4	5.2	treatment
42016.38722	5	6	treatment
42016.38728	4.8	4.8	treatment
42016.38777	4.8	5.4	treatment
42016.38794	4.8	5	treatment
42016.3895	4.6	5.8	treatment
42016.38962	4.2	4.6	treatment
42016.39223	6	5.6	treatment
42016.3925	1.2	1.2	treatment
42016.39287	4.2	5.6	treatment
42016.39295	6	6	treatment
42016.39296	4	4.6	treatment
42016.39309	3.4	4.6	treatment
42016.39326	5	5.4	treatment
42016.39363	4	4.6	treatment
42016.39376	5	5.4	treatment
42016.39407	4	4.2	treatment
42016.39418	5	5	treatment
42016.39422	3.8	4.4	treatment
42016.39603	2.2	2	treatment
42016.39605	6	6	treatment
42016.39639	6	6	treatment
42016.39712	6	6	treatment
42016.3981	4.8	5.6	treatment
42016.39844	5.4	6	treatment
42016.39867	4.6	5	treatment
42016.39902	5.4	5.8	treatment
42016.39978	5.4	6	treatment
42016.40119	6	6	treatment
42016.40127	5.2	5.8	treatment
42016.40155	5.6	5.8	treatment
42016.40188	4.6	5	treatment
42016.402	6	4.8	treatment
42016.40206	5.2	5.8	treatment
42016.40212	4.6	4.8	treatment
42016.40249	4.8	5	treatment
42016.40356	4.4	4.4	treatment
42016.40358	6	6	treatment
42016.40453	4.8	5	treatment
42016.40538	5	6	treatment
42016.40622	5	4.4	treatment
42016.40686	5.6	5.6	treatment
42016.40688	2.8	2.6	treatment
42016.40691	6	6	treatment
42016.40703	6	6	treatment
42016.4075	5.8	6	treatment
42016.4076	5.8	5.8	treatment
42016.40862	6	6	treatment
42016.40968	5.8	4.8	treatment
42016.40971	4.2	5.8	treatment
42016.41025	5	6	treatment
42016.41066	5.4	5.6	treatment
42016.41087	5	4.8	treatment
42016.4112	5.4	5.8	treatment
42016.41184	4.8	5	treatment
42016.4127	5.4	6	treatment
42016.41326	4.8	5.4	treatment
42016.41328	5.4	5.6	treatment
42016.41345	5	5	treatment
42016.41422	5.6	5.4	treatment
42016.41487	4.8	5	treatment
42016.41616	5.6	5.8	treatment
42016.41668	6	6	treatment
42016.42021	4.2	5	treatment
42016.42108	5.6	4.8	treatment
42016.4226	5.6	5.8	treatment
42016.42324	6	6	treatment
42016.42358	4.6	3.6	treatment
42016.42359	4.8	4.2	treatment
42016.42407	1.8	1.8	treatment
42016.42478	4.8	5	treatment
42016.4263	6	5.8	treatment
42016.42632	5	5	treatment
42016.43046	5	5.6	treatment
42016.43168	5.2	5	treatment
42016.43184	3.4	4.2	treatment
42016.43316	5	5.2	treatment
42016.43385	5	5.6	treatment
42016.4355	4	5.2	treatment
42016.43623	4.4	4.8	treatment
42016.4367	5.6	5.4	treatment
42016.439	4.4	5	treatment
42016.43962	3.8	3.8	treatment
42016.44001	6	5	treatment
42016.44095	2.4	2.6	treatment
42016.44108	3.4	3.8	treatment
42016.44273	6	5.8	treatment
42016.44329	5	5	treatment
42016.44345	6	6	treatment
42016.44744	5.4	5.8	treatment
42016.38153	5.6	5.8	control
42016.38156	5.6	5.6	control
42016.38181	2.6	2.8	control
42016.38213	4.8	5	control
42016.38249	5.2	6	control
